superfam,fam,subfam,supergen,gen,spe,plant_ord,plant_fam,plant_subfam,plant_tri,plant_gen,plant_spe
アゲハチョウ上科,アゲハチョウ科,アゲハチョウ亜科,キシタアゲハ族(ジャコウアゲハ族),ジャコウアゲハ属,ジャコウアゲハ,コショウ目,ウマノスズクサ科,,,ウマノスズクサ属,マルバウマノスズクサ
アゲハチョウ上科,アゲハチョウ科,アゲハチョウ亜科,キシタアゲハ族(ジャコウアゲハ族),ジャコウアゲハ属,ジャコウアゲハ,コショウ目,ウマノスズクサ科,,,ウマノスズクサ属,ウマノスズクサ
アゲハチョウ上科,アゲハチョウ科,アゲハチョウ亜科,キシタアゲハ族(ジャコウアゲハ族),ジャコウアゲハ属,ジャコウアゲハ,コショウ目,ウマノスズクサ科,,,ウマノスズクサ属,オオバウマノスズクサ
アゲハチョウ上科,アゲハチョウ科,アゲハチョウ亜科,キシタアゲハ族(ジャコウアゲハ族),ジャコウアゲハ属,ジャコウアゲハ,コショウ目,ウマノスズクサ科,,,ウマノスズクサ属,リュウキュウウマノスズクサ
アゲハチョウ上科,アゲハチョウ科,アゲハチョウ亜科,キシタアゲハ族(ジャコウアゲハ族),ジャコウアゲハ属,ジャコウアゲハ,コショウ目,ウマノスズクサ科,,,ウマノスズクサ属,ホソバウマノスズクサ
アゲハチョウ上科,アゲハチョウ科,アゲハチョウ亜科,キシタアゲハ族(ジャコウアゲハ族),ジャコウアゲハ属,ジャコウアゲハ,コショウ目,ウマノスズクサ科,,,ウマノスズクサ属,コウシュンウマノスズクサ
アゲハチョウ上科,アゲハチョウ科,アゲハチョウ亜科,アオスジアゲハ族,アオスジアゲハ属,コモンタイマイ,モクレン目,バンレイシ科,,,バンレイシ属,トゲバンレイシ
アゲハチョウ上科,アゲハチョウ科,アゲハチョウ亜科,アオスジアゲハ族,アオスジアゲハ属,コモンタイマイ,モクレン目,バンレイシ科,,,バンレイシ属,ギョウシンリ
アゲハチョウ上科,アゲハチョウ科,アゲハチョウ亜科,アオスジアゲハ族,アオスジアゲハ属,コモンタイマイ,モクレン目,バンレイシ科,,,バンレイシ属,バンレイシ
アゲハチョウ上科,アゲハチョウ科,アゲハチョウ亜科,アオスジアゲハ族,アオスジアゲハ属,コモンタイマイ,モクレン目,バンレイシ科,,,オウソウカ属,オウソウカ
アゲハチョウ上科,アゲハチョウ科,アゲハチョウ亜科,アオスジアゲハ族,アオスジアゲハ属,コモンタイマイ,アオイ目,アオイ科,ヘリクテレス亜科,,ドリアン属,ドリアン
アゲハチョウ上科,アゲハチョウ科,アゲハチョウ亜科,アオスジアゲハ族,アオスジアゲハ属,コモンタイマイ,モクレン目,バンレイシ科,,,ゴニオタラムス属,キダチオウソウカ
アゲハチョウ上科,アゲハチョウ科,アゲハチョウ亜科,アオスジアゲハ族,アオスジアゲハ属,コモンタイマイ,モクレン目,モクレン科,,,オガタマノキ属,トウオガタマ
